Designator,Mid X,Mid Y,Layer,Rotation
J1,151,-77.5,bottom,90
J2,140,-115.5,bottom,-90
J3,162,-115.5,bottom,-90
C1,136,-92,top,180
C2,146,-91.5,top,0
C3,142.5,-103.5,top,90
C4,150.5,-107.5,top,-90
C5,143,-96,top,90
C6,141.5,-96,top,90
C7,140,-96,top,90
C8,138.5,-96,top,90
C9,135,-99.5,top,-90
C10,141,-107.5,top,-90
C11,144.5,-81,top,-90
C12,137.5,-77.5,top,0
C13,135,-86.5,top,-90
C14,156,-92,top,180
C15,166,-91.5,top,0
C16,151.5,-103.5,top,90
C17,159.5,-107.45,top,-90
C18,163,-96,top,90
C19,158.5,-96,top,90
C20,161.5,-96,top,90
C21,160,-96.02,top,90
C22,161,-103.5,top,90
C23,167,-111.5,top,90
R1,139.5,-86.04,top,-90
R2,141.5,-86.03,top,-90
R3,142.5,-86.04,top,-90
R4,143,-94,top,-90
R5,141.5,-94,top,-90
R6,146,-110.49,top,90
R7,147,-100.5,top,-90
R8,140,-94,top,-90
R9,147,-110.5,top,90
R10,148,-100.5,top,-90
R11,145,-110.5,top,90
R12,146,-100.5,top,-90
R13,138.5,-94,top,-90
R14,136.5,-110.5,top,90
R15,138,-100.5,top,-90
R16,137.5,-110.49,top,90
R17,139,-100.51,top,-90
R18,135.5,-110.5,top,90
R19,137,-100.5,top,-90
R20,159.5,-86.02,top,-90
R21,161.5,-86,top,-90
R22,162.5,-85.99,top,-90
R23,163,-93.99,top,-90
R24,158.5,-94,top,-90
R25,164.5,-110.5,top,90
R26,165.5,-100.5,top,-90
R27,161.5,-94,top,-90
R28,165.5,-110.5,top,90
R29,166.5,-100.5,top,-90
R30,163.5,-110.5,top,90
R31,164.5,-100.5,top,-90
R32,160,-94,top,-90
R33,155,-110.5,top,90
R34,156,-100.5,top,-90
R35,156,-110.5,top,90
R36,157,-100.5,top,-90
R37,154,-110.5,top,90
R38,155,-100.5,top,-90
U1,141,-90.05,top,0
U2,146.5,-105.5,top,90
U3,137,-105.5,top,90
U4,139.5,-81.595,top,180
U5,161,-90.05,top,0
U6,165,-105.525,top,90
U7,155.5,-105.525,top,90
